slug,name,type_category,country,region,description,tasting_notes,cask_type,url,source_api_endpoint,source_confidence
american-bottled-in-bond,Bottled in Bond Explained,,,,"## Bottled in Bond Explained

The 1897 act that created Americas first consumer protection law for whiskey quality.

### Key Points

This guide covers the essential aspects of bottled in bond explained, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
american-barrel-aging,New Charred Oak Barrels,,,,"## New Charred Oak Barrels

Why American whiskeys requirement for new barrels creates such distinctive caramel and vanilla flavors.

### Key Points

This guide covers the essential aspects of new charred oak barrels, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
american-wheated-bourbon,Wheated Bourbon Guide,,,,"## Wheated Bourbon Guide

Soft, sweet, and approachable: understanding wheats role in bourbon from Pappy to Makers Mark.

### Key Points

This guide covers the essential aspects of wheated bourbon guide, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
american-high-rye-bourbon,High Rye Bourbon Explained,,,,"## High Rye Bourbon Explained

When bourbon meets rye spice: the bold flavor of high-rye mash bills like Four Roses and Wild Turkey.

### Key Points

This guide covers the essential aspects of high rye bourbon explained, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
american-single-barrel,Single Barrel vs Small Batch,,,,"## Single Barrel vs Small Batch

Understanding the difference between single barrel, small batch, and standard bourbon releases.

### Key Points

This guide covers the essential aspects of single barrel vs small batch, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
american-proof-guide,Understanding Proof in American Whiskey,,,,"## Understanding Proof in American Whiskey

From barrel proof to bottled-in-bond: navigating the proof spectrum of American whiskey.

### Key Points

This guide covers the essential aspects of understanding proof in american whiskey, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
american-whiskey-cocktails,Classic American Whiskey Cocktails,,,,"## Classic American Whiskey Cocktails

Old Fashioned, Manhattan, Mint Julep, and Whiskey Sour: the definitive recipes and their histories.

### Key Points

This guide covers the essential aspects of classic american whiskey cocktails, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
american-collecting-bourbon,Collecting Bourbon,,,,"## Collecting Bourbon

Navigating the allocated bourbon market: finding limited releases without paying secondary market premiums.

### Key Points

This guide covers the essential aspects of collecting bourbon, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
american-food-pairing,Bourbon and Food Pairing,,,,"## Bourbon and Food Pairing

Matching bourbons sweetness and spice with American cuisine: barbecue, desserts, and beyond.

### Key Points

This guide covers the essential aspects of bourbon and food pairing, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
japanese-history,History of Japanese Whisky,,,,"## History of Japanese Whisky

From Masataka Taketsurus Scottish apprenticeship to global domination: the Japanese whisky story.

### Key Points

This guide covers the essential aspects of history of japanese whisky, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
japanese-distilleries,Major Japanese Distilleries,,,,"## Major Japanese Distilleries

Yamazaki, Hakushu, Yoichi, Miyagikyo, and Chichibu: profiles of Japans most important whisky makers.

### Key Points

This guide covers the essential aspects of major japanese distilleries, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
japanese-production,Japanese Whisky Production Methods,,,,"## Japanese Whisky Production Methods

How Japanese distilleries produce multiple styles in-house using varied still shapes and fermentation techniques.

### Key Points

This guide covers the essential aspects of japanese whisky production methods, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
japanese-mizunara,Mizunara Oak Deep Dive,,,,"## Mizunara Oak Deep Dive

Japans rare native oak: why it costs ten times more than American oak and the flavors it imparts.

### Key Points

This guide covers the essential aspects of mizunara oak deep dive, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
japanese-highball,The Art of the Japanese Highball,,,,"## The Art of the Japanese Highball

How Japan elevated whisky and soda into a cultural institution with precise technique and presentation.

### Key Points

This guide covers the essential aspects of the art of the japanese highball, providing both foundational knowledge and practical insights for whiskey enthusiasts at every level.

### What You Will Learn

Through this guide, you will gain a deeper understanding of the topic and its significance within the broader world of whiskey appreciation and production.

### Practical Application

Apply this knowledge during your next tasting session or distillery visit to enhance your appreciation and understanding of the whiskey in your glass.
",,,,/guides/,high
